"","Point.d.�.chantillonnage","date","X.OD","O2..mg.L.","Conductivit�...µs.cm2.","pH","Temp�.rature..oC.","Signe.COLI","COLI","M�.U.0089.T�.U.0089.O","Ag..µg.L.","Al..µg.L.","As..µg.L.","Ba..µg.L.","Be..µg.L.","Ca..µg.L.","Cd..µg.L.","Co..µg.L.","COT..µg.L.","Cr..µg.L.","Cu..µg.L.","Fe..µg.L.","K..µg.L.","Mg..µg.L.","Mn..µg.L.","Mo..µg.L.","Na..µg.L.","NH3..µg.L.","Ni..µg.L.","Ptot..µg.L.","Pb..µg.L.","MES...mg.L.","Sb..µg.L.","Se..µg.L.","Sn2.ug.L","U..µg.L.","V..µg.L.","Zn..µg.L."
"63","BER-3.3","2014-05-13",84,9.6,2938,7.4,9,"=",54,1,0.1,35,0.2,98.3,0.1,189000,0.1,0.3,2.3,0.3,2.6,1120,5790,43100,94,2,367000,140,1.7,13,0.2,3.4,0.5,0.5,1,0.9,0.6,8
"64","BER-3.3","2014-06-18",87,8.2,1029,7.6,18.4,"=",1500,0,0.1,363,0.5,37.6,0.1,58500,0.1,0.4,3.7,1.2,4.6,798,2990,11500,34.6,2,98900,78,2,59,0.9,22.6,0.5,0.5,1,0.5,1.7,16.2
"65","BER-3.3","2014-07-15",79,7.9,2068,7.6,14.9,"=",160,0,0.1,37.6,0.2,89.9,0.1,131000,0.1,0.2,2.7,0.3,3.4,1060,4250,31600,91.1,1,217000,118,1.4,14,0.2,2.4,0.5,0.5,1,0.6,0.6,11.5
"66","BER-3.3","2014-09-09",80,7.9,1519,7.5,15.6,"=",2000,1,0.1,35,0.3,91,0.1,116000,0.1,0.1,2,8.2,3.1,1200,3660,26300,106,1.5,158000,116,1,20,0.2,3.2,0.5,0.5,1,0.4,0.5,3
"67","BER-3.3","2014-10-22",75.9,7.9,2000,7.5,13.1,"<",10,-1,0.1,37,0.2,95,0.1,143000,0.1,0.1,2.7,0.3,4.5,1250,4400,35600,104,2.1,234000,117,1.4,20,0.2,1.8,0.5,0.5,1,0.5,0.4,11
"68","BER-3.3","2014-11-12",92,10.3,519,7.9,10.2,"=",2700,0,0.1,1140,0.6,59,0.1,46100,0.2,NA,6.5,6.1,18.6,1840,2310,9130,57.8,2.8,48700,382,NA,107,4.7,40.8,1.9,0.5,1,0.2,3.3,88
"69","BER-4.6","2014-04-30",88,9.9,777,7.7,9.9,"=",570,0,0.1,307,0.5,40.2,0.1,63500,0.1,0.4,6.2,1.2,5.6,473,3280,13200,35.4,2.1,71400,45,2.3,50,1,12.2,0.5,0.5,1,0.8,1.3,36.4
"70","BER-4.6","2014-05-13",95,10.7,664,7.9,9.7,"=",110,1,0.1,64.9,0.2,30.7,0.1,57800,0.1,0.3,3.1,0.3,2.9,216,2630,14200,20.3,1,48600,71,1.7,22,0.5,2.4,0.5,0.5,1,0.8,0.8,28.5
"71","BER-4.6","2014-06-18",76,6.7,484,7.9,21.6,"=",550,0,0.1,99.2,0.5,34.3,0.1,44700,0.1,0.2,6.2,0.3,2.9,262,4750,8390,25.9,7,27000,28,1.6,45,0.2,4.4,0.5,0.5,1,0.5,0.9,17.5
"72","BER-4.6","2014-07-15",NA,NA,319,7.7,21,"=",380,0,0.1,132,0.9,33.5,0.1,32800,0.1,0.3,6.9,0.8,4.2,687,1700,5500,65.9,1,19500,131,2.8,76,0.8,11,0.5,0.5,1,0.1,1.1,27.5
"73","BER-4.6","2014-10-22",44.5,4.6,446,7.9,12,"=",1700,-1,0.1,409,0.7,41,0.1,48800,0.1,1.3,9.9,1.3,9,1050,2680,8800,71.9,4.5,29900,26,5.9,667,3.5,20,0.6,0.5,1,0.4,2,75
"74","BER-4.6","2014-11-12",97,11.2,213,8.1,8.6,"=",5700,0,0.1,1330,0.9,38,0.1,33300,0.2,1.1,8.4,4.4,14.2,1720,2030,5280,54.7,3.2,12100,392,5.9,NA,5.3,66,1,0.5,1,0.2,4,103
"75","BOU-0.0","2014-05-06",102.1,11.5,263,7.9,9.9,"=",63,-1,0.1,544,0.4,24.4,0.1,23400,0.1,0.3,5.9,1.1,1.9,627,1610,5180,23,1,22200,51,1.3,34,0.4,5.8,0.5,0.5,1,0.4,1.3,3
"76","BOU-0.0","2014-05-21",92,9,434,7.9,16.2,"=",45,1,0.1,563,0.5,31,0.1,31400,0.1,0.4,6.2,1.2,2.1,760,2510,7910,33.9,1,43500,24,1.7,45,0.8,11.4,0.5,0.5,1,0.5,1.6,6.7
"77","BOU-0.0","2014-06-25",81,7.3,378,8,20.2,"=",5200,-1,0.1,700,0.7,32.5,0.1,39400,0.1,0.9,7.2,2.3,7,1540,3250,5550,45.9,2,24600,99,3.4,121,3,50.7,0.5,0.5,1,0.7,2.7,34.6
"78","BOU-0.0","2014-08-19",79,7.4,1171,7.8,18,"=",160,1,0.1,182,0.5,68,0.1,82500,0.1,0.3,4.6,0.5,2.2,475,6320,19100,29.6,4.1,89700,108,2.3,33,0.7,7,0.5,0.5,1,1.3,1.2,13
"79","BOU-0.0","2014-10-08",89,9,381,8.1,14.8,"=",550,0,0.1,2980,1,48,0.1,42500,0.2,1.8,4,6.3,10.3,3830,4380,7490,70.1,2,33900,81,6.2,171,5.9,97.3,0.5,0.5,1,0.5,7.2,58
"80","BOU-0.0","2014-10-27",74.8,8.2,849,8,11,"=",350,-1,0.1,250,0.4,45,0.1,66700,0.2,NA,4.1,1.4,2.9,582,5210,15900,27.8,2.3,73600,71,NA,40,1.3,10.7,0.5,0.5,1,1,1.2,21
"81","BOU-0.0","2014-11-26",83,10.8,1106,8.1,4.2,"=",63,-2,0.1,241,0.4,55,0.1,96700,0.1,0.5,13,0.7,4.6,642,6320,22000,71.4,2.8,100000,262,2.4,32,1,10.5,0.5,0.5,1,1.7,1.1,24
"82","BOU-1.0","2014-05-06",82,8.9,1369,7.8,11.4,"<",10,-1,0.1,235,0.5,57.1,0.1,99400,0.1,0.6,8.7,0.7,3.3,815,5950,22100,87.3,2.9,157000,322,2.7,33,0.9,12.2,0.5,0.5,1,2,1.3,15.9
"83","BOU-1.0","2014-05-21",82,8.1,1419,8,15.2,"=",63,1,0.1,222,0.5,59.2,0.1,92600,0.1,0.5,7.7,0.3,2.5,800,6120,23800,83.7,3.1,100000,117,2.4,31,0.7,9.6,0.5,0.5,1,1.4,1.2,11.7
"84","BOU-1.0","2014-06-25",68,6.2,377,7.8,20.2,"=",4400,-1,0.1,843,0.7,33.6,0.1,40400,0.1,1,7.3,2.5,7.4,1750,3160,5340,49.2,2,24700,114,3.5,130,3.2,48.7,0.5,0.5,1,0.7,3,39.1
"85","BOU-1.0","2014-08-19",68,6.4,1222,7.9,17.8,"=",200,1,0.1,277,0.6,77,0.1,91900,0.1,0.4,4.6,0.8,2.7,675,6910,21500,51.4,4.4,100000,129,2.9,41,1.1,12,0.5,0.5,1,1.3,1.6,19
"86","BOU-1.0","2014-10-08",86,8.7,411,8.1,14.7,"=",2000,0,0.1,2910,1,51,0.1,44500,0.2,2.2,4.8,6.6,11.4,4200,4250,7390,93.4,1.8,39100,65,6.8,205,7.1,123,0.5,0.5,1,0.5,7.1,62
"87","BOU-1.0","2014-10-27",77.3,8.6,919,8,10.6,"=",570,-1,0.1,278,0.4,49,0.1,73800,0.1,NA,4.3,0.9,3.1,644,5900,18100,36.7,2.5,84100,98,NA,51,1,10.4,0.5,0.5,1,1.1,1.2,22
"88","BOU-1.0","2014-11-26",81.9,10.5,1025,8.2,4.3,"=",90,-2,0.1,220,0.4,54,0.1,95500,0.1,0.5,12.7,0.6,2.9,572,6150,21800,76,2.6,100000,302,2.2,25,0.7,8.8,0.5,0.5,1,1.6,1,22
"89","BOU-1.5P2","2014-05-06",NA,NA,2267,8,10.3,"=",2100,-1,0.1,37.2,0.2,54.7,0.1,148000,0.1,0.3,2.6,0.3,2.4,344,6290,46900,46.3,3.1,266000,40,2.1,20,0.5,1.9,0.5,0.5,1,1.4,0.6,10.9
"90","BOU-1.5P2","2014-05-21",NA,NA,2238,8.1,14.1,"=",200,1,0.1,38.6,0.2,55.3,0.1,136000,0.1,0.2,3,0.3,1.9,337,6780,48900,38.8,2.5,262000,21,2.1,21,0.5,2.6,0.5,0.5,1,0.9,0.7,7.5
"91","BOU-1.5P2","2014-06-25",78,7.2,937,7.4,19,"=",1400,-1,0.1,149,0.2,37.7,0.1,60000,0.1,0.3,3.1,0.7,3.6,355,3630,15400,28.1,2.7,78200,50,1.7,51,1,7.9,0.5,0.5,1,0.8,0.9,18
"92","BOU-1.5P2","2014-08-19",83,8.2,2322,8.1,15.7,"=",540,1,0.1,31,0.3,68,0.1,143000,0.1,0.1,2.6,0.3,1.4,192,6110,47900,22.2,2.9,212000,66,2,26,0.4,2,0.5,0.5,1,1,0.6,13
"93","BOU-1.5P2","2014-10-08",92,9.4,210,8.3,14.4,"=",1200,0,0.1,521,0.3,18,0.1,23800,0.1,0.4,2.7,1.8,4.7,695,1090,3920,17.6,1,14100,33,1.4,63,3.3,20.8,0.5,0.5,1,0.1,1.9,26
"94","BOU-1.5P2","2014-10-27",70,8,1752,7.8,9.4,"=",110,-1,0.1,84,0.3,52,0.1,119000,0.2,NA,2.8,0.3,1.9,393,4760,41400,29.7,2.1,100000,71,NA,55,0.8,4.2,0.5,0.5,1,0.5,0.6,17
"95","BOU-1.5P2","2014-11-26",85.8,11,1365,7.9,4.8,"=",150,-2,0.1,361,0.3,47,0.1,99800,0.2,NA,3.9,1.8,4.7,863,4000,31400,46.8,1.8,100000,87,NA,65,3.5,25.4,0.5,0.5,1,0.5,1.3,36
"96","BOU-2.1","2014-05-06",78.3,9.2,1286,7.6,8.3,"<",10,-1,0.1,180,0.4,56,0.1,99900,0.1,0.6,11,0.7,3.5,779,5930,20000,87.8,3,142000,458,2.8,30,0.7,11.8,0.5,0.5,1,2,1.1,16.4
"97","BOU-2.1","2014-05-21",89,9.3,1283,7.9,13.2,"=",110,1,0.1,409,0.6,58.2,0.1,86800,0.1,0.7,9.8,1.3,4.2,1170,5970,21500,88.2,2.6,100000,207,2.9,49,1.3,25,0.5,0.5,1,1.4,1.8,18.9
"98","BOU-2.1","2014-06-25",69,6.4,389,7.5,19.3,"=",4500,-1,0.1,275,0.4,27.9,0.1,37500,0.1,0.4,7.4,0.9,4.3,567,3300,5680,23.1,1,20000,70,1.9,60,0.9,13.3,0.5,0.5,1,0.6,1.3,25.3
