STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000410,0,200,0,52,-20
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000411,40,120,36,10,-32
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000412,14,160,14,40,-41
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000413,0,100,0,60,-48
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000414,0,80,0,135,-18
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000415,0,20,0,219,32
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000416,0,0,0,104,4
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000417,0,0,0,44,-21
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000418,0,0,0,114,-4
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000419,0,0,0,111,53
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000420,0,0,0,139,67
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000421,105,0,0,81,36
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000422,50,0,0,67,41
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000423,5,0,0,77,40
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000424,5,0,0,-9999,-9999
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000425,0,0,0,101,15
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000426,0,0,0,107,11
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000427,0,0,0,103,32
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000428,0,0,0,175,42
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000429,4,0,0,199,44
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000430,0,0,0,135,25
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000501,10,0,0,146,50
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000502,0,0,0,150,43
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000503,0,0,0,189,16
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000504,5,0,0,244,51
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000505,0,0,0,235,146
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000506,15,0,0,174,101
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000507,55,0,0,275,91
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000508,40,0,0,-9999,-9999
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000509,215,0,0,-9999,-9999
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000510,295,0,0,125,67
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000511,15,0,0,163,97
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000512,0,0,0,205,83
GHCND:CA007025250,MONTREAL PIERRE ELLIOTT TRUDEA CA,20000513,25,0,0,222,108
