"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"CLA-0.0","2013-08-19  13:16:19","114","9,72","220","8,6","23,2","=","36","1","0,1","47","0,7","22,6","0,1","23000","0,1","0,1","4,9","0,3","2,07","106","1150","5670","26,3","1","9870","20","0,5","22","0,2","0,5","0,5","0,5","0,2","0,6","3"
"CLA-0.0","2013-09-23  15:02:07",,,"168","8,3","16,9","=","45","-1","0,1","74,6","0,6","17,8","0,1","17400","0,1","0,1","4,9","0,3","1,3","132","1040","4260","11,3","1","7820","20","0,5","22","0,2","2,2","0,5","0,5","0,1","0,6","3"
"CLA-0.0","2013-10-22  15:06:23","93","9,69","136","8,2","13,3","=","54","0","0,1","86,5","0,5","18,9","0,1","15500","0,1","0,1","5,7","0,3","1,45","169","1120","3600","15","1","6540","35","0,6","23","0,2","0,5","0,5","0,5","0,1","0,6","3"
"CLA-1.8","2013-05-22  13:25:18","114","10,95","83","8","17,3","=","63","-1","0,1","200","0,5","15","0,1","7800","0,1","0,1","6,8","0,9","1,6","290","730","1800","17","1","3800","20","1","23","0,4","2,4","0,5","0,5","0,1","0,6","6,5"
"CLA-1.8","2013-07-10  13:25:09","103","8,74","204","8,5","23,8","=","18","0","0,1","160","0,6","22,6","0,1","21600","0,1","0,1","5","0,9","1,6","225","1160","5210","22,1","1","8550","20","0,8","22","0,2","3,1","0,5","0,5","0,2","0,7","3"
"CLA-1.8","2013-08-19  14:08:44","111","9,47","188","8,6","23,2","=","81","1","0,1","109","0,7","21,3","0,1","20600","0,1","0,1","4,9","0,7","1,68","162","1160","5250","14,9","1","8900","20","0,6","20","0,5","2,6","0,5","0,5","0,1","0,6","3"
"CLA-1.8","2013-09-23  14:00:23",,,"180","8,5","17,2","=","63","-1","0,1","128","0,7","19,4","0,1","18300","0,1","0,1","5","0,6","1,35","189","1070","4540","14,3","1","7970","20","0,5","22","0,2","2,4","0,5","0,5","0,1","0,6","3"
"CLA-1.8","2013-10-22  14:07:33","94","9,94","159","8,4","12,6","=","80","0","0,1","314","0,6","20,3","0,1","13900","0,1","0,1","5,9","0,7","1,95","405","1130","3270","20,2","1","5850","55","1,1","31","0,8","4,8","0,5","0,5","0,1","1,2","3"
"CLA-11.2","2013-05-22  15:08:38","109","10,48","105","7,8","17,1","=","130","-1","0,1","170","0,4","15","0,1","10000","0,1","0,1","7,1","0,8","2","270","820","2200","24","1","4900","20","0,8","23","0,5","3","0,5","0,5","0,1","0,7","3,9"
"CLA-11.2","2013-07-10  13:09:30","130","11,04","171","9","25,4","=","27","0","0,1","112","0,6","20,4","0,1","17900","0,1","0,1","5,9","0,7","2,45","201","1050","4230","25,7","1","7190","20","0,7","33","0,2","3,6","0,5","0,5","0,1","0,6","3"
"CLA-11.2","2013-08-19  16:11:58","121","10,34","210","8,4","23,1","=","72","1","0,1","46,5","0,7","21,6","0,1","23200","0,1","0,1","4,5","0,3","1,8","89,1","1220","5860","12","1","10300","20","0,6","15","0,2","2","0,5","0,5","0,2","0,6","3"
"CLA-11.2","2013-09-23  13:48:14",,,"182","9,1","17,2","<","10","-1","0,1","58,1","0,6","18,8","0,1","18800","0,1","0,1","5,3","0,3","2,14","93,5","1020","4420","17,3","1","7870","20","0,5","26","0,2","2,9","0,5","0,5","0,1","0,5","3"
"CLA-11.2","2013-10-22  13:52:59","91","9,9","154","8,5","11,7","=","36","0","0,1","155","0,6","20,1","0,1","17800","0,1","0,1","5,9","0,3","1,57","249","1310","4020","20,2","1","7270","27","0,6","30","0,5","4,6","0,5","0,5","0,1","0,7","3"
"CLA-6.6","2013-05-22  14:45:29","109","10,71","92","8,5","16,3","=","260","-1","0,1","220","0,4","15","0,1","8900","0,1","0,1","6,8","1","1,6","310","770","2000","21","1","4300","20","0,9","22","0,6","3,4","0,5","0,5","0,1","0,7","3,9"
"CLA-6.6","2013-07-10  14:15:58","117","9,94","180","8,6","25,6","=","36","0","0,1","144","0,5","21,5","0,1","19100","0,1","0,1","5,2","0,8","1,7","215","1090","4560","19,7","1","7660","20","0,8","27","0,5","5,2","0,5","0,5","0,1","0,7","3"
"CLA-6.6","2013-08-19  15:45:28","112","9,61","112","8,3","22,9","<","10","1","0,1","78,4","0,6","21,4","0,1","22100","0,1","0,1","4,7","0,9","1,49","121","1200","5680","12,7","1","9770","20","0,6","18","0,2","2,4","0,5","0,5","0,2","0,6","3"
"CLA-6.6","2013-09-23  14:41:03",,,"171","8,4","17,1","=","27","-1","0,1","107","0,6","18,5","0,1","17100","0,1","0,1","4,9","0,3","1,19","162","1020","4280","13","1","7750","20","0,5","24","0,2","2,1","0,5","0,5","0,1","0,5","3"
"CLA-6.6","2013-10-22  14:48:32","92","9,56","126","8,4","13,3","=","27","0","0,1","170","0,5","19,1","0,1","14000","0,1","0,1","5,8","0,3","1,61","257","1110","3350","19,7","1","6180","23","0,6","28","0,4","1,8","0,5","0,5","0,1","0,7","3"
"CON-0.0","2013-04-15  10:50:51","102","12,71","581","7,9","5,8","=","81","-2","0,1","410","0,4","52","0,1","68000","0,1","0,3","5,8","1,1","2,1","500","3100","24000","22","2,9","17000","140","2,7","62","0,3","5,6","0,5","0,5","1,1","1,1","4,7"
"CON-0.0","2013-05-01  11:14:23","102","10,57","806","7,7","13,7","<","10","1","0,1","72","0,5","56","0,1","90000","0,1","0,3","3,6","0,6","0,78","220","3500","33000","54","5,2","26000","20","3,2","22","0,2","3,1","0,5","0,5","1,6","0,5","3"
"CON-0.0","2013-06-03  11:00:01","103","9,62","812","7,6","18,5","<","100","-1","0,1","370","1,1","59","0,1","82000","0,1","0,4","4,8","1","1,3","550","4400","34000","41","4,5","36000","20","3,1","65","0,4","13","0,5","0,5","1,4","1,2","3"
"CON-0.0","2013-06-17  11:49:07","88","8,5","807","7,7","16,9","=","300","-1","0,1","190","1","66","0,1","90000","0,1","0,3","5,4","0,7","1,1","410","4000","30000","41","4,3","26000","20","3,6","50","0,2","6,8","0,5","0,5","1,5","0,9","3"
"CON-0.0","2013-07-31  12:12:50","73","6,43","707","7,8","21,7","=","150","-2","0,1","300","1,2","62,8","0,1","76200","0,1","0,4","5,5","1","1,02","517","4670","32200","55,3","4,1","36300","37","3","51","0,2","13,8","0,5","0,5","1,3","1,3","3"
"CON-0.0","2013-08-28  10:46:21","79","6,92","878","7,9","21,6","<","10","-2","0,1","270","1,2","68,6","0,1","82700","0,1","0,4","4,2","0,8","1,35","512","5410","37600","59,3","4,2","46200","20","2,9","38","0,2","12,2","0,5","0,5","1,4","1,3","3"
"CON-0.0","2013-10-01  11:28:21","86","8,32","875","8","16,5","=","18","1","0,1","166","1","75,8","0,1","92800","0,1","0,3","4","0,3","0,5","375","5830","37800","31,9","3,7","48200","20","2,8","42","0,2","7,7","0,5","0,5","1,4","0,9","3"
"CPI-0.0","2013-04-15  10:38:17","106","12,44","1324","7,8","8,4","=","5000","-2","0,1","59","0,2","58","0,1","140000","0,1","0,1","1,4","0,7","1,2","120","2800","40000","8,1","1,5","93000","20","2,9","19","0,2","2,8","0,5","0,5","1,2","0,4","3,9"
"CPI-0.0","2013-05-01  11:02:47","105","11,08","1480","7,7","12,6","=","230","1","0,3","180","0,4","41","0,1","62000","0,1","0,3","7,3","1,5","5,2","290","3600","13000","26","1","200000","1600","2,7","80","0,7","14","0,5","0,5","0,3","1,2","12"
"CPI-0.0","2013-06-03  10:50:24","90","9,28","1121","7,9","13,5","=","21000","-1","0,1","510","0,3","59","0,1","110000","0,1","0,5","1,9","1,6","4,7","710","2600","30000","26","1,5","78000","81","3","84","0,9","20","0,5","0,5","1,1","1,5","11"
"CPI-0.0","2013-06-17  11:36:35","90","9,25","1347","7,7","13,7","=","41000","-1","0,1","390","0,3","73","0,1","140000","0,1","0,4","1,5","1,2","2","520","3600","35000","29","2,1","73000","20","3,2","56","0,3","23","0,5","0,5","1,6","1,2","5,8"
"CPI-0.0","2013-07-31  11:59:10","90","8,35","1007","7,9","18,5","=","4000","-2","0,1","25,2","0,2","63,3","0,1","127000","0,1","0,1","1,8","0,6","1,75","54,8","2970","33600","6,9","1","68300","54","2,7","47","0,2","1,2","0,5","0,5","1,1","0,2","3"
"CPI-0.0","2013-08-28  10:38:45","83","7,7","1224","8","18,8","=","390","-2","0,1","28,1","0,2","53,5","0,1","93200","0,1","0,1","2,5","0,3","2,19","50,2","3180","21600","6,6","1","100000","37","1,7","107","0,2","1,1","0,5","0,5","0,7","0,7","3"
"CPI-0.0","2013-10-01  11:15:26","85","8,07","1630","7,9","17","=","5300","1","0,5","169","0,2","40,7","0,1","54400","0,1","0,4","3,5","2,4","5,04","235","2330","10400","43,2","1","100000","110","1,6","96","0,2","7,2","0,5","0,5","0,3","1,2","8,4"
"DEN-0.0","2013-04-09  14:59:36","101","12,2","1006","8,2","6,4","=","300","0","0,1","340","0,4","40","0,1","70000","0,1","0,7","8,3","2,1","4,4","640","4100","14000","43","1,9","110000","75","2,4","70","1","13","0,5","0,5","1,1","1,3","27"
"DEN-0.0","2013-05-07  13:57:37","123","12,21","782","8,1","15,5","=","54","1","0,1","1100","0,5","48","0,1","58000","0,1","1,2","3,1","2,9","7,5","1500","2500","12000","52","1,3","78000","20","5,2","81","2,6","37","0,5","0,5","0,5","2,6","49"
"DEN-0.0","2013-05-29  13:41:48","103","10,31","1167","7,7","14,9","=","2000","0","0,1","1200","0,8","64","0,1","97000","0,11","2,3","7,1","4,1","12","2800","4300","22000","150","2,8","100000","68","4,9","190","4,2","79","0,74","0,5","1,1","3,9","68"
"DEN-0.0","2013-07-02  13:41:46","112","10,76","1729","8,1","17,4","=","1500","1","0,1","120","0,5","70","0,1","130000","0,1","0,3","6,2","0,8","2,3","420","5200","29000","21","2,5","170000","20","2,3","34","0,4","6,5","0,5","0,5","1,4","1","12"
"DEN-0.0","2013-08-07  13:18:36","98","8,64","1634","8,2","21,2","=","1400","1","0,1","164","0,5","78,1","0,1","115000","0,1","0,3","3,9","1","2,43","476","5490","27600","22,5","4,5","50000","20","2,3","49","0,6","8,8","0,5","0,5","0,9","0,9","8,3"
"DEN-0.0","2013-09-10  14:43:51","81","7,77","660","8,2","17,8","=","46000","0","0,1","302","0,5","41,8","0,1","56200","0,1","0,6","18,4","2,2","9,87","569","5010","11300","36,9","7,1","63800","89","2,5","99","1,2","13,3","0,5","0,5","0,4","2,2","37,5"
"DEN-0.0","2013-10-28  13:50:31","96","10,86","671","8,1","9,8","=","3800","0","0,1","400","0,5","41","0,1","52100","0,1","0,4","5,3","2,3","11","635","3720","11500","20,7","2,9","61700","55","3,6","56","2,1","12,9","0,5","0,5","0,5","1,8","44,8"
