"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","U (µg/L)","V (µg/L)","Zn (µg/L)"
"PHI-1","2013-07-02  09:27:00","85","7,77","1047","7,5","17,1","=","99","1","0,1","8,6","0,2","30","0,1","110000","0,1","0,1","3,6","0,3","0,76","83","2900","30000","11","2,4","52000","20","2","10","0,2","0,8","0,5","0,5","1,1","0,2","3"
"PHI-1","2013-08-07  09:08:33","51","4,75","1180","7,5","18,1","=","27","1","0,1","27,4","0,2","38,7","0,1","120000","0,1","0,1","3,1","0,6","1,69","130","4310","31300","14,4","2,4","71600","20","3","13","0,2","3,4","0,5","0,5","1,1","0,2","3"
"PHI-1","2013-09-10  09:38:33","56","5,63","1099","7,6","15,9","=","54","0","0,1","37,5","0,2","44,2","0,1","134000","0,1","0,1","2,3","0,3","1,54","135","6060","36200","9,6","3,2","54300","20","3,3","18","0,2","3,7","0,5","0,5","1,6","0,2","3"
"PHI-1","2013-10-28  09:48:45","78","8,48","719","7,6","10,6","=","45","0","0,1","438","0,2","27,8","0,1","66400","0,1","0,3","4","0,9","4,06","425","4110","14500","8,5","1","51500","120","2,3","53","0,8","10,7","0,5","0,5","0,7","1,5","11,5"
"PIB-2","2013-04-15  09:41:11","42","5,67","253","7,3","2,9","<","10","-2","0,1","19","0,7","24","0,1","37000","0,1","0,1","3,8","0,9","0,75","160","870","6200","32","1","2500","120","0,5","22","0,2","1,2","0,5","0,5","0,1","0,2","3,2"
"PIB-2","2013-05-01  10:06:27","93","8,66","380","7,8","18,5","<","10","1","0,1","6","1,3","37","0,1","58000","0,1","0,1","7,7","0,5","0,52","72","1200","10000","27","1","4000","20","0,5","34","0,2","2,2","0,5","0,5","0,2","0,4","3"
"PIB-2","2013-06-03  10:04:43","76","6,72","242","8,1","21,1","<","100","-1","0,1","6,7","2,7","8,1","0,1","31000","0,1","0,1","10,5","0,7","0,79","62","190","9900","9,9","1","3600","20","0,5","29","0,2","1,8","0,5","0,5","0,2","0,7","3"
"PIB-2","2013-06-17  10:41:52","83","7,69","246","8,3","18,8","=","18","-1","0,1","6,5","2,9","7,8","0,1","32000","0,1","0,1","11,4","0,6","0,5","53","180","9100","5,8","1","3200","20","0,5","120","0,2","1","0,5","0,5","0,1","0,7","3"
"PIB-2","2013-07-31  10:09:03","96","8,19","254","8,2","23,2","=","27","-2","0,1","5","2,6","28,5","0,1","38300","0,1","0,1","13,8","0,3","0,5","49,2","294","10200","7,9","1","3530","20","0,5","33","0,2","2,2","0,5","0,5","0,1","0,2","3"
"PIB-2","2013-08-28  09:47:11","79","6,69","273","8","23,7","<","10","-2","0,1","5","2,6","32,5","0,1","36700","0,1","0,1","15","0,3","0,5","59,4","290","10700","16","1","3480","20","0,5","36","0,2","1,6","0,5","0,5","0,1","0,2","3"
"PIB-2","2013-10-01  10:23:17","111","10,71","231","8,9","17,2","<","10","1","0,1","5","2","18,9","0,1","32300","0,1","0,1","14,1","0,3","0,5","40,4","202","10800","6,6","1","3620","20","0,5","19","0,2","2","0,5","0,5","0,1","0,2","3"
"PIB-3","2013-04-15  10:09:08","95","12,12","641","7,6","4,2","<","10","-2","0,1","16","0,2","94","0,1","84000","0,1","0,1","3,7","0,5","1","68","2600","27000","8,5","1,3","10000","20","0,7","20","0,2","0,5","0,5","0,5","1","0,3","3"
"PIB-3","2013-05-01  10:29:23","62","6,37","782","7,6","14,3","=","18","1","0,1","5","0,2","130","0,1","95000","0,1","0,1","6,1","0,5","0,64","48","2400","33000","22","2","21000","20","0,7","15","0,2","0,5","0,5","0,5","1,1","0,2","3"
"PIB-3","2013-06-03  10:28:15","64","6,05","654","7,5","17,7","<","100","-1","0,1","7,3","0,3","110","0,1","73000","0,1","0,1","7,4","0,5","1","130","2200","26000","19","1,7","28000","20","1,1","29","0,2","0,5","0,5","0,5","0,3","0,2","3"
"PIB-3","2013-06-17  11:00:40","79","7,79","744","7,8","15,6","=","18","-1","0,1","5","0,3","110","0,1","87000","0,1","0,1","4,6","0,4","0,5","64","1500","30000","13","1,2","21000","20","0,8","28","0,4","0,5","0,5","0,5","0,5","0,2","3"
"PIB-3","2013-07-31  11:35:25","74","6,63","627","8","19,9","=","130","-2","0,1","5","0,2","109","0,1","74400","0,1","0,1","7,5","0,3","0,5","116","1360","27400","44,3","1","29700","20","1","29","0,2","0,5","0,5","0,5","0,1","0,2","3"
"PIN-0.0","2013-04-09  13:25:03","102","13,35","924","8,3","4","=","63","0","0,1","350","0,3","43","0,1","100000","0,1","0,3","4,6","1,3","2,1","500","8600","23000","27","1,3","67000","20","1,8","30","0,5","10","0,5","1,3","1,1","1","4,5"
"PIN-0.0","2013-05-15  13:24:57","96","10,41","1085","7,9","11,6","=","140","1","0,1","35","0,3","45","0,1","100000","0,1","0,1","5,4","0,5","1,4","94","14000","31000","14","1,8","80000","20","1,5","17","0,2","12","0,5","0,5","0,9","0,3","3"
"PIN-0.0","2013-06-10  13:20:24","101","9,87","1088","8,2","16,3","=","280","-2","0,1","84","0,4","48","0,1","110000","0,1","0,2","5,4","0,7","1,4","170","10000","26000","20","2","71000","20","1,5","16","0,4","4,4","0,5","0,5","1","0,6","3"
"PIN-0.0","2013-07-23  14:35:20","97","8,87","981","8,2","19,6","=","470","0","0,1","60,8","0,5","46,7","0,1","106000","0,1","0,1","5,2","0,3","1,6","139","10600","28300","18,4","1","68100","20","1,4","24","0,2","3,4","0,5","0,5","0,8","0,7","3"
"PIN-0.0","2013-09-16  13:34:49","99","10,72","936","8","11,8","=","3200","0","0,1","283","0,4","40,8","0,1","86800","0,1","0,3","6,4","1","2,45","428","12000","23400","25,2","1","78400","20","1,7","42","1,3","12,6","0,5","0,5","0,5","1","3"
"PIN-0.0","2013-10-15  14:34:53","71","8,1","12","8,1","13,5","=","5000","-1","0,1","301","0,5","53,2","0,1","104000","0,1","0,3","8,5","1,1","3,01","565","15600","28900","43,1","1","106000","20","2","75","2,1","8,4","0,5","0,5","0,6","1,1","6,9"
"PIN-1.6","2013-04-09  14:08:48","99","13,21","848","8,2","3,3","=","90","0","0,1","210","0,2","37","0,1","92000","0,1","0,3","4,5","1,2","1,8","330","8300","20000","36","1,5","58000","20","1,8","21","0,4","6","0,5","1,4","0,9","0,7","4,3"
"PIN-1.6","2013-05-15  13:17:21","110","11,86","1129","7,9","12","<","10","1","0,1","26","0,3","45","0,1","110000","0,1","0,1","4,3","0,3","1,3","87","15000","33000","18","1,7","79000","20","1,6","9","0,2","1,9","0,5","0,5","0,8","0,3","3"
"PIN-1.6","2013-06-10  13:08:37","101","9,9","1153","8","16,6","=","200","-2","0,1","38","0,3","51","0,1","120000","0,1","0,2","5,2","0,5","1,2","130","11000","27000","27","2","72000","20","1,5","12","0,2","2,6","0,5","0,5","1","0,5","3"
"PIN-1.6","2013-07-23  14:21:39","99","8,99","1049","8","19,6","=","550","0","0,1","108","0,4","53,9","0,1","120000","0,1","0,2","4,6","0,7","1,47","238","10500","30000","42,2","1","68400","20","3,4","23","0,2","6","0,5","0,5","0,8","0,7","3"
"PIN-1.6","2013-08-13  13:27:57","94","8,65","851","8","18,9","=","2000","0","0,1","299","0,7","45,7","0,1","81800","0,1","0,3","11,1","0,9","2,35","398","14000","26000","30,2","1","79300","590","2","95","0,2","10,8","0,5","0,5","0,5","1,2","3"
"PIN-1.6","2013-09-16  13:25:18","98","10,48","1048","7,9","12,2","=","520","0","0,1","1110","0,6","51,2","0,1","93400","0,1","0,8","6,9","2,2","3,05","1680","12300","23800","233","1","93700","20","3,2","112","1,9","74,3","0,5","0,5","0,5","2,5","10,8"
"PIN-1.6","2013-10-15  14:23:11","91","9,39","1363","8,1","13,2","=","45","-1","0,1","53,7","0,2","52,3","0,1","105000","0,1","0,1","7,6","0,3","1,51","148","15900","29600","13,9","1","125000","20","1,5","16","0,2","2","0,5","0,5","0,5","0,5","3"
"SAR-1","2013-04-09  10:09:40","83","11,2","451","8,5","2,5","=","36","0","0,1","53","0,2","25","0,1","54000","0,1","0,1","5,3","1","2","190","910","6300","43","1","24000","20","13","28","0,3","1,6","0,5","0,5","0,4","0,3","3,6"
"SAR-1","2013-05-29  10:11:04","74","7,45","671","7,6","14,6","<","10","1","0,1","5","0,4","35","0,1","85000","0,1","0,1","11,4","1,6","2,4","400","1500","9600","91","1,3","42000","20","20","51","0,2","1","0,5","0,5","0,7","0,2","3"
"SAR-1","2013-07-02  10:09:52","63","5,88","640","7,6","18,2","=","130","1","0,1","5","0,5","34","0,1","83000","0,1","0,1","11,6","1,4","0,98","280","1400","8700","130","1","35000","20","14","52","0,2","1,5","0,5","0,5","0,4","0,2","3"
"SAR-1","2013-08-07  09:53:59","54","5,01","702","7,5","18,3","=","550","1","0,1","36,4","0,9","42,8","0,1","70400","0,1","0,2","10,3","1,8","0,5","968","1730","8510","743","1","61100","170","7,6","175","0,2","4,2","0,5","0,5","0,1","0,2","3"
"SAR-1","2013-09-10  10:25:36","73","7,24","560","7,8","15,7","=","550","0","0,1","144","0,7","34,6","0,1","52200","0,1","1,1","18,9","2,3","5,99","1160","3580","6610","767","1","59000","680","5,8","251","3,8","21,7","0,5","0,5","0,1","1,2","30,6"
"SAR-1","2013-10-28  10:35:20","66","7,82","990","7,9","8,4","=","54","0","0,1","326","0,6","47,5","0,1","73100","0,1","0,6","10,9","2","3,02","1070","2530","8680","1050","1","118000","180","8,2","272","1,7","21","0,5","0,5","0,1","1,3","11,1"
"TER-0.6","2013-03-12  12:21:07","91","12,08","1619","7,9","3,4","=","1300","0","0,1","820","1,7","47","0,1","76000","0,1","0,7","4,4","3,9","12","1000","4200","22000","30","2,4","220000","65","4,2","67","2,2","23","0,5","0,5","1,2","2,4","32"
"TER-0.6","2013-04-24  11:34:53","108","12,43","1742","8","8,9","<","10","1","0,1","58","0,6","52","0,1","120000","0,1","0,1","2,5","0,7","2,9","81","4700","33000","1,6","2,9","200000","20","2","24","0,2","1","0,5","0,5","2,2","0,8","7,4"
"TER-0.6","2013-05-22  11:50:21","42","4,38","653","7,7","13,7","=","210","-1","0,1","38","0,7","24","0,1","52000","0,1","0,1","5","0,8","4,7","61","2700","10000","3","2,3","57000","20","1,6","41","0,2","0,8","0,5","0,5","0,5","1","6,9"
"TER-0.6","2013-07-10  11:46:47","67","6,21","877","7,6","19,2","=","1200","-2","0,1","75,2","0,8","38,8","0,1","69600","0,1","0,1","2,6","0,7","2,73","115","3270","15800","9,7","2,2","79600","20","1,3","67","0,2","2,8","0,5","0,5","0,9","1,4","6,6"
"TER-0.6","2013-08-19  12:14:36","84","7,75","1066","8","18,6","=","210","1","0,1","61","1","46,1","0,1","85300","0,1","0,1","2","0,7","2,38","119","4580","21200","12,4","2,4","50000","20","1,3","81","0,2","3,8","0,5","0,5","1","1,2","3"
"TER-0.6","2013-09-23  12:54:15",,,"1212","8,1","14,8","=","910","-1","0,1","19,8","0,6","51,2","0,1","95900","0,1","0,1","2,6","0,3","1,84","55,4","4170","22500","4,8","3","100000","20","0,9","54","0,2","1","0,5","0,5","1,5","1","3"
"TER-0.6","2013-10-22  12:53:20","61","6,41","761","8,2","12,5","=","1300","0","0,1","94","0,6","38,3","0,1","68100","0,1","0,1","2,3","0,8","2,31","150","3720","14700","7,9","2","74800","20","1,1","70","0,2","5,6","0,5","0,5","0,8","1,2","7,2"
