"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"PIN-0.0","2012-09-25  13:38:28","90","9,4","1091","8,1","13","=","360","1","0,1","65,3","0,4","48,2","0,1","105124","0,1","0,1","5,9","0,6","3,666","154,3","13514","33640","17,2","1,3","95520","20","0,8","25","0,2","3,6","0,5","0,5","1","0,9","0,8","3"
"PIN-0.0","2012-10-23  12:42:18","98","11,27","1268","8,2","8,9","=","7000","1","0,1","22,4","0,3","59","0,1","147044","0,1","0,2","5,8","0,3","1,323","79,8","10472","34140","10,8","1,5","87740","20","1,2","13","0,2","1,6","0,5","0,5","1","1,5","0,4","3"
"PIN-0.0","2012-11-06  13:00:42","103","13,37","1271","8","2,9","=","140","1","0,1","33,5","0,3","48,7","0,1","135928","0,1","0,1","5,2","0,6","1,175","90,4","10730","35940","12,6","1,1","91080","28,6","1,2","13","0,2","1,6","0,5","0,5","1","1,2","0,3","3"
"PIN-1.6","2012-05-16  13:02:46","102","9,49","1179","8","18,6","=","81","1","0,1","33,6","0,4","51,5","0,1","115486","0,1","0,1","6","0,8","1,939","164,2","16208","32360","33,4","2,5","90240","20","1,9","11","0,2","2,3","0,5","0,5","1","1","0,5","5,5"
"PIN-1.6","2012-06-26  10:51:02","110","10,5","1148","8,1","16,8","=","430","-1","0,1","52,5","0,6","49,2","0,1","97400","0,1","0,1","7,6","0,3","1,645","175,5","16752","31400","30,1","2","76580","20","2,1","19","0,2","2,2","0,5","0,5","1","0,5","0,7","6"
"PIN-1.6","2012-07-16  13:07:18","95","8,1","1339","8,2","23,2",">","6000","0","0,1","85,9","0,8","59,7","0,1","104228","0,1","0,1","7,7","0,3","2,57","174,5","22260","42620","10,3","2,6","105462","20","2,4","27","0,3","5,2","0,5","0,5","1","0,6","1","7,4"
"PIN-1.6","2012-08-29  11:52:36","86","8,33","1366","8,1","16,7","=","350","-2","0,1","457,4","0,8","67,2","0,1","122450","0,1","0,5","6,8","1","2,242","918,2","19162","43840","133,3","1,8","127094","20","3","41","0,9","6,6","0,5","0,5","1","0,7","2","6,3"
"PIN-1.6","2012-09-25  13:27:30","104","10,76","1200","8","13,4","=","36","1","0,1","19,2","0,4","53,2","0,1","116288","0,1","0,1","5,6","0,5","0,956","119","12930","36120","19,2","1,1","97988","20","0,7","11","0,2","1,7","0,5","0,5","1","0,8","0,6","3"
"PIN-1.6","2012-10-23  11:58:39","99","11,61","1328","7,9","8,1","=","54","1","0,1","86,4","0,3","60,7","0,1","160436","0,1","0,2","5,3","0,3","1,29","220,4","10804","36580","52,5","1,6","93440","20","1,4","16","0,2","7,8","0,5","0,5","1","1,5","0,5","3"
"PIN-1.6","2012-11-06  12:51:05","104","14,01","1291","7,9","2,9","=","27","1","0,1","13,3","0,3","50,1","0,1","144102","0,1","0,1","4,8","0,5","0,992","130,1","10906","37560","30,5","1,2","91000","20","1,3","7","0,2","1,6","0,5","0,5","1","1,2","0,2","3"
