"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)","MÉTÉO","Précipitation totale (mm)"
"BLAP-3",2014/09/15,"17,9",225,"8,6","=",21,-2,18
"BLAP-4",2014/06/09,"18,9",238,"8,4","=",180,1,0
"BLAP-4",2014/06/30,"22,6",238,"8,3","=",1300,1,0
"BLAP-4",2014/08/05,"23,5",275,"8,7","=",28,1,0
"BLAP-4",2014/08/11,"24,6",271,"8,8","=",18,1,0
"BLAP-4",2014/08/20,"22,1",234,"8,7","=",18,1,0
"BLAP-4",2014/08/26,"23,6",245,"8,8","=",5,1,0
"BLAP-4",2014/09/10,"22,3",213,"8,7","=",18,1,0
"BLAP-4",2014/09/29,"18,3",187,"8,6","=",26,1,0
"BLAP-4",2014/06/18,"19,7",224,"8,1",">",6000,0,25
"BLAP-4",2014/06/24,"19,9",232,"8,0","=",90,0,12
"BLAP-4",2014/07/15,"21,7",252,"8,4","=",40,0,12
"BLAP-4",2014/07/23,"2,4",242,"8,2",">",6000,0,11
"BLAP-4",2014/10/08,"15,8",198,"8,3","=",2800,0,21
"BLAP-4",2014/10/15,"15,4",180,"8,1","=",54,0,1
"BLAP-4",2014/06/04,"18,3",158,"8,0","=",1200,-1,21
"BLAP-4",2014/07/09,"22,4",239,"8,2","=",44,-1,15
"BLAP-4",2014/07/29,"22,0",251,"8,7","=",60,-1,17
"BLAP-4",2014/09/01,"22,6",242,"8,5","=",120,-1,10
"BLAP-4",2014/09/22,"16,7",205,"8,6","=",15,-1,5
"BLAP-4",2014/09/15,"17,7",225,"8,6","=",18,-2,18
"BLAP-4.5",2014/06/03,"17,2",244,"7,7","=",15,1,0
"BLAP-4.5",2014/06/11,"18,1",214,"8,0","=",240,1,0
"BLAP-4.5",2014/06/17,"18,3",219,"7,9","=",290,1,0
"BLAP-4.5",2014/06/23,"19,6",215,"8,0","=",360,1,0
"BLAP-4.5",2014/07/02,"22,3",241,"8,0","=",200,1,0
"BLAP-4.5",2014/07/21,"21,9",250,"8,2","=",30,1,0
"BLAP-4.5",2014/08/04,"22,4",265,"8,3","=",270,1,0
"BLAP-4.5",2014/08/19,"19,9",229,"8,1","=",210,1,0
"BLAP-4.5",2014/08/27,"22,5",254,"8,3","=",76,1,0
"BLAP-4.5",2014/09/09,"21,2",232,"8,2","=",30,1,0
"BLAP-4.5",2014/09/16,"16,9",210,"8,4","=",90,1,0
"BLAP-4.5",2014/10/01,"16,7",203,"8,3","=",5,1,0
"BLAP-4.5",2014/10/15,"15,0",186,"8,4","=",180,1,0
"BLAP-4.5",2014/08/13,"22,3",264,"8,3","=",52,0,27
"BLAP-4.5",2014/10/07,"14,7",170,"8,1","=",540,0,2
"BLAP-4.5",2014/07/08,"20,9",241,"8,1","=",74,-1,9
"BLAP-4.5",2014/07/16,"21,8",264,"8,3","=",58,-1,2
"BLAP-4.5",2014/09/24,"15,7",186,"8,3","=",21,-1,1
"BLAP-4.5",2014/07/30,"20,6",259,"8,2","=",30,-2,8
"BLAP-4.5",2014/09/02,"22,3",240,"8,2","=",46,-2,10
"BLAP-6",2014/06/03,"16,9",185,"8,0","=",8,1,0
"BLAP-6",2014/06/11,"18,2",212,"8,1","=",3,1,0
"BLAP-6",2014/06/17,"18,4",218,"8,0","=",23,1,0
"BLAP-6",2014/06/23,"19,8",218,"8,1","=",7,1,0
"BLAP-6",2014/07/02,"22,3",249,"8,2","=",13,1,0
"BLAP-6",2014/07/21,"22,0",252,"8,4","=",25,1,0
"BLAP-6",2014/08/04,"22,5",274,"8,4","=",16,1,0
"BLAP-6",2014/08/19,"20,1",230,"8,2","=",15,1,0
"BLAP-6",2014/08/27,"22,5",257,"8,4","=",30,1,0
"BLAP-6",2014/09/09,"21,4",235,"8,2","=",28,1,0
