"Point d'échantillonnage","Date","Température (oC)","Conductivité (µs/cm2)","pH","Signe","Coliformes fécaux (colonies/100mL)"
"BLAP-2","2011-08-16  09:24:59","23,2","235","8,4","=","78"
"BLAP-2","2011-09-12  11:02:59","21,2","220","8,6","=","34"
"BLAP-2.5","2011-06-07  09:33:15","17,5","207","8,4","=","300"
"BLAP-2.5","2011-06-29  09:06:21","20,4","209","8,3","=","190"
"BLAP-2.5","2011-07-11  09:47:00","23,1","227","8,4","=","15"
"BLAP-2.5","2011-07-20  09:09:01","24,6","231","8,4","=","11"
"BLAP-2.5","2011-08-01  09:15:48","24,6","233","8,4","=","11"
"BLAP-2.5","2011-05-16  09:22:00","10,9","101","8,6","<","10"
"BLAP-2.5","2011-07-26  09:18:52","24","235","8,4","=","66"
"BLAP-2.5","2011-09-06  09:19:06","21,3","260","8,4","=","40"
"BLAP-2.5","2011-05-23  10:06:00","14,1","174","8,2","=","31"
"BLAP-2.5","2011-06-01  10:10:20","17,3","195","8,4","=","13"
"BLAP-2.5","2011-08-10  08:52:55","23,6","254","8,4","=","23"
"BLAP-2.5","2011-08-22  10:09:27","22,5","257","8,5","=","120"
"BLAP-2.5","2011-08-31  09:36:12","20,9","239","8,5","=","44"
"BLAP-2.5","2011-09-21  09:32:07","18","223","8,6","=","23"
"BLAP-2.5","2011-09-27  09:19:37","18,8","270","8,5","=","110"
"BLAP-2.5","2011-06-15  10:26:52","18,9","206","8,5","=","58"
"BLAP-2.5","2011-06-20  10:04:16","20","254","8,5","=","16"
"BLAP-2.5","2011-07-05  09:28:48","22,9","251","8,4","=","28"
"BLAP-2.5","2011-08-16  09:17:15","23,3","249","8,5","=","15"
"BLAP-2.5","2011-09-12  10:54:55","21,4","228","8,7","=","31"
"BLAP-2.8","2011-06-08  08:51:35","17,8","210","8,3","=","15"
"BLAP-2.8","2011-07-06  08:52:02","22","250","8,2","=","60"
"BLAP-2.8","2011-07-18  08:38:19","23,7","248","8,3","=","25"
"BLAP-2.8","2011-09-19  08:53:25","17,3","231","8,6","=","60"
"BLAP-2.8","2011-06-21  09:46:02","19,8","261","8,5","=","2"
"BLAP-2.8","2011-08-29  09:13:50","19,6","241","8,3","=","470"
"BLAP-2.8","2011-09-13  08:55:19","20,7","252","8,3","=","1200"
"BLAP-2.8","2011-05-24  09:26:00","15,5","156","8,2","=","8"
"BLAP-2.8","2011-05-30  09:20:06","14,9","214","8,5","=","52"
"BLAP-2.8","2011-06-14  09:10:31","16,9","212","8,3","=","54"
"BLAP-2.8","2011-07-12  09:06:29","22,9","237","8,2","=","20"
"BLAP-2.8","2011-07-27  08:43:00","23,5","242","8,4","=","20"
"BLAP-2.8","2011-08-02  08:18:59","24","253","8,3","=","1300"
"BLAP-2.8","2011-08-08  09:18:46","24,7","262","8,4","=","54"
"BLAP-2.8","2011-08-17  08:54:49","22,9","251","8,4","=","84"
"BLAP-2.8","2011-08-23  08:53:35","21,3","273","8,3","=","36"
"BLAP-2.8","2011-09-07  08:45:47","20,5","253","8,3","=","48"
