"Année-Mois";"Station";"Engin";"Latitude";"Longitude";"Secteur";"Espèce";"Commentaires";"Présence / Absence"
"1997-09";"F28";"Filet maillant";"45.38944";"-73.89389";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1996-09";"F6";"Filet maillant";"45.23694";"-74.1725";"Lac Saint-François";"Perchaude";"";"Présence"
"2012-10";"F96";"Filet maillant";"45.27069";"-73.24492";"Haut-Richelieu";"Perchaude";"";"Présence"
"2014-09";"F262";"Filet maillant";"45.1858";"-74.3203";"Lac Saint-François";"Perchaude";"";"Absence"
"1995-09";"F134";"Filet maillant";"46.12194";"-73.01139";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"1997-09";"F106";"Filet maillant";"45.35389";"-73.84139";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1997-09";"F17";"Filet maillant";"45.4025";"-73.76667";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2011-09";"F59";"Filet maillant";"45.40131";"-73.83344";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1995-09";"F14";"Filet maillant";"46.22361";"-72.89639";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2011-09";"F095";"Filet maillant";"46.20396";"-72.81642";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"1996-09";"F21";"Filet maillant";"46.41583";"-72.35972";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2009-09";"F228";"Filet maillant";"45.19019";"-74.29102";"Lac Saint-François";"Perchaude";"";"Présence"
"2010-09";"F323";"Filet maillant";"45.43267";"-74.06096";"Lac des Deux-Montagnes";"Perchaude";"";"Présence"
"2008-09";"F107";"Filet maillant";"46.38979";"-72.46392";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2004-09";"F205";"Filet maillant";"45.22262";"-74.19584";"Lac Saint-François";"Perchaude";"";"Présence"
"2011-09";"F10";"Filet maillant";"45.35273";"-73.8443";"Lac Saint-Louis";"Perchaude";"";"Absence"
"2010-09";"F30";"Filet maillant";"45.68097";"-73.4856";"Montréal-Sorel";"Perchaude";"";"Présence"
"2003-09";"F246";"Filet maillant";"46.10997";"-73.14583";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Absence"
"2013-08";"F71";"Filet maillant";"46.18412";"-72.900055";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2007-09";"F091";"Filet maillant";"46.18175";"-72.81616";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2005-09";"F68";"Filet maillant";"45.43055";"-73.8019";"Lac Saint-Louis";"Perchaude";"";"Présence"
"1996-09";"F1";"Filet maillant";"45.245";"-74.19139";"Lac Saint-François";"Perchaude";"";"Présence"
"2010-09";"F233";"Filet maillant";"46.11607";"-73.01587";"Archipel du Lac Saint-Pierre";"Perchaude";"";"Présence"
"2002-09";"F048";"Filet maillant";"46.2687";"-72.7373";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2002-09";"F031";"Filet maillant";"46.23653";"-72.833";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2002-09";"F038";"Filet maillant";"46.24635";"-72.80335";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2004-09";"F241";"Filet maillant";"45.10765";"-74.41757";"Lac Saint-François";"Perchaude";"";"Présence"
"1997-09";"F45";"Filet maillant";"46.59278";"-72.0075";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2005-09";"F27";"Filet maillant";"45.33315";"-73.93065";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2001-09";"F55";"Filet maillant";"45.76864";"-73.40875";"Montréal-Sorel";"Perchaude";"";"Absence"
"2009-09";"F105";"Filet maillant";"46.21279";"-72.75548";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2001-09";"F79";"Filet maillant";"45.86678";"-73.27128";"Montréal-Sorel";"Perchaude";"";"Absence"
"2012-09";"F119";"Filet maillant";"46.40071";"-72.39486";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"2009-09";"F252";"Filet maillant";"45.23671";"-74.20807";"Lac Saint-François";"Perchaude";"";"Présence"
"2001-09";"F23";"Filet maillant";"45.65764";"-73.45203";"Montréal-Sorel";"Perchaude";"";"Absence"
"2007-09";"F085";"Filet maillant";"46.19094";"-72.85572";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2012-08";"F143";"Filet maillant";"46.43724";"-72.28056";"Bécancour-Batiscan";"Perchaude";"";"Absence"
"1997-09";"F9";"Filet maillant";"46.66583";"-71.78861";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2006-09";"F14";"Filet maillant";"46.67055";"-71.80218";"Grondines-Saint-Nicolas";"Perchaude";"";"Absence"
"2001-09";"F132";"Filet maillant";"46.40914";"-72.32198";"Bécancour-Batiscan";"Perchaude";"";"Présence"
"2014-09";"F222";"Filet maillant";"45.1945";"-74.259";"Lac Saint-François";"Perchaude";"";"Présence"
"2010-09";"F28";"Filet maillant";"45.67635";"-73.48536";"Montréal-Sorel";"Perchaude";"";"Présence"
"2002-09";"F106";"Filet maillant";"46.22687";"-72.76667";"Lac Saint-Pierre";"Perchaude";"";"Absence"
"2001-09";"F28";"Filet maillant";"45.67586";"-73.48606";"Montréal-Sorel";"Perchaude";"";"Présence"
"1997-09";"F8";"Filet maillant";"46.21556";"-72.88083";"Lac Saint-Pierre";"Perchaude";"";"Présence"
"2009-09";"F213";"Filet maillant";"45.19034";"-74.21886";"Lac Saint-François";"Perchaude";"";"Présence"
"2011-09";"F68";"Filet maillant";"45.43074";"-73.8022";"Lac Saint-Louis";"Perchaude";"";"Présence"
"2007-09";"F050";"Filet maillant";"46.27523";"-72.72368";"Lac Saint-Pierre";"Perchaude";"";"Présence"
