Année,Latitude,Longitude,Espèce,Engin,Secteur,Station,Agence,Nombre d'individus
May-01,46.74153,-71.29483,Hybride,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
May-01,45.56139,-73.49556,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Île Lebel,EC-Biosphère,1
Jul-01,46.74153,-71.29483,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,13
Jul-50,45.49861,-73.53139,Écrevisse à pinces bleues,unknown,Montréal-Sorel,Montréal,EC-CSL,4
Jul-00,46.9133,-71.859,Écrevisse de ruisseau,Filet troubleau,Tributaire nord,Rivière Ste-Anne,UQTR,2
Jun-00,45.433334,-73.7375,Écrevisse à épines,Seine de rivage,Lac Saint-Louis,Île Dorval,EC-CSL,2
Sep-02,45.30639,-73.24389,Écrevisse à épines,Manuelle,Haut-Richelieu,Iberville,EC-CSL,3
Sep-01,46.131332,-73.053,Écrevisse à pinces bleues,Seine de rivage,Archipel du Lac Saint-Pierre,Île aux Ours,EC-CSL,2
Sep-02,45.4051,-73.544,Écrevisse à pinces bleues,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,3
Apr-01,45.64722,-73.444725,Écrevisse à pinces bleues,Verveux,Montréal-Sorel,Rivière aux Pins,EC-CSL,1
Sep-02,45.7087,-73.4523,Écrevisse à épines,unknown,Montréal-Sorel,Îlet Vert,EC-CSL,1
Apr-02,46.80111,-71.1925,Écrevisse à épines,Paniers de pré-filtration,Saint-Nicolas - Montmagny,Lévis,EC-CSL,5
May-01,46.74153,-71.29483,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,17
Sep-01,46.74153,-71.29483,Écrevisse à rostre caréné,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
May-01,45.5,-72.913055,Écrevisse à rostre caréné,Épuisette,Tributaire sud,Rivière Yamaska,EC-Biosphère,3
Aug-01,45.926666,-73.24333,Écrevisse de ruisseau,Manuelle,Montréal-Sorel,Lavaltrie,EC-CSL,1
May-01,46.7418,-71.29335,Écrevisse géante,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
May-01,46.741333,-71.29365,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-02,45.3332,-73.8565,Écrevisse à pinces bleues,Manuelle,Lac Saint-Louis,Îles de la Paix,EC-CSL,2
Sep-01,46.741333,-71.29365,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,46.74165,-71.29387,Écrevisse à pinces bleues,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
May-00,45.341667,-73.852776,Écrevisse à pinces bleues,Filet troubleau,Lac Saint-Louis,Îles de la Paix,EC-CSL,1
Aug-12,45.088333,-74.171486,Écrevisse de ruisseau,Manuelle,Tributaire sud,Huntingdon - 01,EC-CSL,1
May-01,46.74153,-71.29483,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,4
Oct-79,46.49972,-72.20639,Écrevisse à épines,unknown,Bécancour-Batiscan,St-Pierre-les-Becquets,EC-CSL,2
Oct-00,45.143055,-74.40806,Écrevisse à rostre caréné,Nasse à méné,Lac Saint-François,Lac St-François,EC-CSL,2
Aug-12,45.393383,-73.25543,Écrevisse à rostre caréné,Manuelle,Haut-Richelieu,Barrage Fryers,EC-CSL,8
Jul-01,45.789722,-73.38194,Écrevisse à épines,Manuelle,Montréal-Sorel,Chenal St-Pierre,EC-CSL,3
Jul-00,45.3057,-71.8816,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Coaticook,UQTR,6
Sep-02,45.3653,-73.8539,Écrevisse à pinces bleues,Manuelle,Lac Saint-Louis,Île Perrot,EC-CSL,2
Jul-01,45.878613,-73.2675,Hybride,Manuelle,Montréal-Sorel,Île Lavaltrie,EC-CSL,1
Jun-01,46.58505,-72.0484,Écrevisse à épines,Verveux,Grondines-Saint-Nicolas,Grondines,EC-CSL,19
Jul-01,45.789722,-73.38194,Hybride,Manuelle,Montréal-Sorel,Chenal St-Pierre,EC-CSL,1
May-01,46.741432,-71.29373,Écrevisse géante,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-01,46.74165,-71.29387,Écrevisse géante,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
Jul-01,46.893665,-71.12258,Écrevisse à épines,Manuelle,Saint-Nicolas - Montmagny,Boischatel,EC-CSL,12
Sep-00,46.1329,-73.04833,Écrevisse à épines,Seine de rivage,Archipel du Lac Saint-Pierre,Île aux Ours,EC-CSL,2
Oct-01,45.433887,-73.73972,Écrevisse à épines,Seine de rivage,Lac Saint-Louis,Île Dorval,EC-CSL,1
Jul-01,45.25722,-74.19278,Écrevisse à pinces bleues,Nasse à méné,Lac Saint-François,Lac St-François,EC-CSL,2
Oct-02,45.751,-73.414,Écrevisse géante,unknown,Montréal-Sorel,Île Beauregard,EC-CSL,1
Jun-01,46.183334,-72.76667,Hybride,Verveux,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,3
Oct-01,46.74153,-71.29483,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,44
Sep-01,46.131332,-73.053,Écrevisse à épines,Seine de rivage,Archipel du Lac Saint-Pierre,Île aux Ours,EC-CSL,1
Jun-00,46.74111,-71.295,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,46.73675,-71.30875,Écrevisse à épines,Seine de rivage 3 mm,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
May-01,46.741432,-71.29373,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Sep-79,46.49972,-72.20639,Écrevisse à pinces bleues,unknown,Bécancour-Batiscan,St-Pierre-les-Becquets,EC-CSL,4
Sep-45,46.377777,-72.44556,Écrevisse à pinces bleues,unknown,Bécancour-Batiscan,Bécancour,EC-CSL,1
Sep-42,48.322224,-70.85306,Écrevisse de ruisseau,unknown,Tributaire nord,Port-Alfred,EC-CSL,4
Jul-02,45.3332,-73.8565,Écrevisse à rostre caréné,Manuelle,Lac Saint-Louis,Îles de la Paix,EC-CSL,1
Jun-01,46.74153,-71.29483,Écrevisse géante,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-01,45.4425,-74.06694,Écrevisse à rostre caréné,Manuelle,Lac des Deux-Montagnes,Lac Deux-Montagnes,EC-CSL,4
May-01,45.56139,-73.49556,Écrevisse à pinces bleues,Seine de rivage,Montréal-Sorel,Parc René-Lévesque,EC-Biosphère,1
May-01,45.56139,-73.49556,Écrevisse à pinces bleues,Seine de rivage,Montréal-Sorel,Pointe du Marigot,EC-Biosphère,2
Aug-00,45.2923,-72.9353,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Yamaska,UQTR,2
Sep-02,45.475,-73.27167,Hybride,Manuelle,Chambly-St-Ours,St-Mathias,EC-CSL,3
Sep-02,45.160667,-74.42983,Écrevisse à pinces bleues,unknown,Lac Saint-François,Lac St-François,EC-CSL,1
Sep-02,45.407,-73.893,Hybride,Manuelle,Lac Saint-Louis,Île Dowker,EC-CSL,3
Sep-00,46.74153,-71.29483,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Jun-01,46.74153,-71.29483,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,15
Sep-02,45.4037,-73.5447,Écrevisse à rostre caréné,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,8
Jul-01,46.74165,-71.29387,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,47
May-01,45.703835,-73.452385,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Îlet Vert,EC-CSL,1
Jul-01,46.7422,-71.29123,Écrevisse à épines,Seine de rivage 3 mm,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,45.433887,-73.73972,Écrevisse à pinces bleues,Seine de rivage,Lac Saint-Louis,Île Dorval,EC-CSL,1
Jun-00,45.916668,-73.22,Écrevisse géante,Seine de rivage,Montréal-Sorel,Île St-Ours,EC-CSL,1
Jul-01,46.74165,-71.29387,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-00,45.3383,-71.8485,Écrevisse à pinces bleues,Filet troubleau,Tributaire sud,Rivière aux Saumons,UQTR,1
Aug-02,45.433533,-73.73758,Écrevisse à épines,Seine de rivage 3 mm,Lac Saint-Louis,Île Dorval,EC-CSL,3
Jul-00,46.6252,-70.985,Écrevisse de ruisseau,Filet troubleau,Tributaire sud,Rivière Etchemin,UQTR,1
Jul-00,45.8864,-72.486,Écrevisse à épines,Filet troubleau,Tributaire sud,Rivière St-François,UQTR,3
Jul-02,45.3857,-73.7721,Écrevisse à épines,Manuelle,Lac Saint-Louis,Île St-Bernard,EC-CSL,2
Sep-79,46.49972,-72.20639,Écrevisse à épines,unknown,Bécancour-Batiscan,St-Pierre-les-Becquets,EC-CSL,2
May-01,45.48,-73.28167,Écrevisse à pinces bleues,Seine de rivage,Chambly-St-Ours,Île Goyer,EC-Biosphère,1
Oct-00,46.74111,-71.295,Écrevisse à épines,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,11
May-01,46.741432,-71.29373,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
May-01,46.741467,-71.29483,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Jul-00,46.74111,-71.295,Écrevisse à épines,Seine de rivage,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-00,46.4407,-73.1488,Écrevisse à rostre caréné,Filet troubleau,Tributaire nord,Rivière du Loup,UQTR,1
Sep-02,45.4104,-73.5725,Hybride,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,5
Aug-01,45.926666,-73.24333,Écrevisse géante,Manuelle,Montréal-Sorel,Lavaltrie,EC-CSL,2
