Année,Latitude,Longitude,Espèce,Engin,Secteur,Station,Agence,Nombre d'individus
May-01,46.7418,-71.29335,Écrevisse à épines,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Sep-02,45.30639,-73.24389,Orconectes sp.,Manuelle,Haut-Richelieu,Iberville,EC-CSL,1
Jul-00,46.6591,-72.1336,Écrevisse de ruisseau,Filet troubleau,Tributaire nord,Rivière Blanche,UQTR,1
Oct-00,46.74111,-71.295,Écrevisse géante,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jun-01,46.58505,-72.0484,Écrevisse à rostre caréné,Manuelle,Grondines-Saint-Nicolas,Grondines,EC-CSL,7
Aug-00,45.2907,-72.9947,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Yamaska,UQTR,1
Jul-02,45.405,-73.5441,Orconectes sp.,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,1
Jul-02,45.3645,-73.8553,Écrevisse à rostre caréné,Manuelle,Lac Saint-Louis,Île Perrot,EC-CSL,2
Jul-02,45.405,-73.5441,Écrevisse à rostre caréné,Manuelle,Montréal-Sorel,Ste-Catherine,EC-CSL,1
Jul-01,47.800556,-70.60167,Écrevisse de ruisseau,Nasse à méné,Tributaire nord,Lac Côte à Côte,EC-SCF,23
Sep-02,45.3857,-73.7725,Écrevisse à épines,Manuelle,Lac Saint-Louis,Île St-Bernard,EC-CSL,47
Jul-01,47.825,-70.59611,Écrevisse de ruisseau,Nasse à méné,Tributaire nord,Lac Belle-Truite,EC-SCF,14
Oct-01,46.74153,-71.29483,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,15
Sep-01,46.737484,-71.30725,Écrevisse à épines,Seine de rivage 3 mm,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Aug-01,46.74165,-71.29387,Écrevisse à rostre caréné,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Jul-00,45.9232,-72.2646,Écrevisse à rostre caréné,Filet troubleau,Tributaire sud,Rivière Nicolet S.O.,UQTR,2
Sep-00,46.74111,-71.295,Écrevisse de ruisseau,Trappe à anguilles,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,3
Aug-00,46.74111,-71.295,Écrevisse de ruisseau,Nasse à méné,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,2
Jul-00,45.9034,-71.7344,Écrevisse de ruisseau,Filet troubleau,Tributaire sud,Rivière Nicolet,UQTR,2
Mar-49,46.52833,-72.33639,Écrevisse à pinces bleues,unknown,Tributaire nord,Rivière à Veillet (écluse),EC-CSL,1
Oct-01,46.74153,-71.29483,Hybride,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Jul-00,47.061,-71.4271,Écrevisse de ruisseau,Filet troubleau,Tributaire nord,Rivière Jacques-Cartier,UQTR,2
May-01,45.56139,-73.49556,Écrevisse à épines,Seine de rivage,Montréal-Sorel,Pointe du Marigot,EC-Biosphère,2
Aug-01,45.88333,-73.27333,Écrevisse à rostre caréné,Manuelle,Montréal-Sorel,Lavaltrie,EC-CSL,1
Oct-00,46.74111,-71.295,Écrevisse de ruisseau,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,1
Oct-01,46.15139,-72.933334,Écrevisse à épines,Ancre,Lac Saint-Pierre,Lac St-Pierre,EC-CSL,2
Oct-02,45.7087,-73.4523,Hybride,unknown,Montréal-Sorel,Îlet Vert,EC-CSL,1
Jun-01,46.448368,-72.22577,Écrevisse géante,Nasse à méné,Bécancour-Batiscan,St-Pierre-les-Becquets,EC-CSL,1
Sep-01,46.74153,-71.29483,Écrevisse à épines,Manuelle,Grondines-Saint-Nicolas,St-Nicolas,EC-CSL,9
